Sample Annotation,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27
Compound1564,7.093035106,7.2216056,7.007272213,7.286019108,7.168122691,6.654082489,7.673153902,7.41419949,7.517716294,7.09801423,6.401883587,7.205869243,7.215476637,7.395007523,7.320000287,7.427858908,7.439950173,7.402013181,7.333318823,7.308276181,7.072345625,7.073195503,7.342740746,7.246345432,7.388546931,7.154660744,7.248008859
Compound1651,7.514203946,7.323551963,7.595634514,7.542127205,7.562565181,7.577435566,7.230766227,7.341146344,7.405979483,7.595794262,7.383023987,7.067063109,7.48753256,7.221472829,7.536377553,7.372276672,7.285332117,7.110259305,7.441745458,7.467922876,7.583232834,7.365181019,7.213052347,7.626100309,7.321272781,7.482191595,7.207379495
Compound2185,7.053568601,7.151192015,6.998426007,7.304189965,6.91416323,7.038439615,7.072438568,7.075260728,7.318575232,7.084096827,6.914772114,7.107453026,7.042930248,7.209704728,7.213347514,6.959104942,7.153213959,7.105033399,7.285064184,7.273570312,6.918882006,6.984025716,6.511077012,7.199089398,7.034935242,7.105746056,7.146373585
Compound1461,7.192734173,7.209053956,6.793490686,6.773687889,6.934162514,7.08756835,6.952537789,6.808941171,7.061225365,7.288793406,7.138119486,7.204069494,7.375884679,7.022393997,7.314368614,7.088060033,7.2241712,6.930746014,7.081852178,7.255441757,6.941118817,6.804381991,6.652922032,6.884230496,7.154615374,7.195056963,7.350341525
Compound1959,7.101363918,7.108320327,6.744930324,7.079957746,7.19283356,7.235601132,7.274284698,7.042226178,7.337328925,7.201900659,7.397429352,7.327935106,7.373214611,7.007560557,7.36490629,7.09779033,7.137069978,7.48723763,6.978651902,7.256056263,7.381144671,7.250322054,7.289036042,7.513061013,7.219154037,7.460379177,7.429172402
Compound2420,7.030017044,6.818752281,6.925622233,6.806382533,6.824837767,6.936874454,6.748150624,6.621857312,6.867271364,6.928117316,6.703963934,7.006449611,6.881491843,6.890506385,6.839474405,6.77217866,6.75998033,6.884475654,6.846700342,6.872756016,6.770697399,6.903026664,6.913834074,6.906493859,7.000489385,6.715573564,7.073647467
Compound4086,5.560741421,5.818443781,5.79343777,5.541226403,5.794336434,5.528896664,5.776085498,5.522811174,5.854582323,5.787497828,6.008821904,5.673468114,5.482921264,5.727478387,5.682594878,5.804430452,5.53546642,5.601450735,5.793975364,5.772748522,5.63828199,5.837979521,5.646200826,5.720994313,5.895318786,5.737043016,5.716223559
Compound412,7.652573038,8.13032071,8.246516743,8.270130878,8.33776768,8.17894212,8.444957376,8.451426479,8.167883435,7.897312733,7.96938455,8.300499043,7.7876233,7.961616965,8.003453472,8.064834901,8.111365149,8.201445639,8.258143932,8.104032256,8.10237953,8.241536125,8.297622594,8.324800928,8.048997743,8.270368328,8.071263525
Compound3147,6.925075519,6.963819478,6.769647998,6.678790536,6.785152976,6.827994221,6.872003721,7.056935932,6.900682648,6.983356154,6.644000293,6.896896077,7.025341714,6.882008947,6.599576214,6.923115386,6.977502783,6.904067828,6.951906598,6.749771106,7.06112406,6.849656141,7.087211849,6.882127979,7.046935712,6.961085067,6.844151358
Compound3381,6.197030364,6.294342817,6.439439818,6.483429992,6.134218617,6.314546623,6.413612956,6.299010139,6.295033098,6.40332365,6.282873802,6.186278661,6.163889471,6.45032129,6.691173106,6.364555399,6.565560566,6.301626086,6.289486405,6.334759429,6.35782857,6.269967512,6.399639948,6.332556597,6.233521185,6.312969904,6.321285495
